_original_index,comment_id,Topic,Name,Primary_Concern,Top_n_words,Probability
804,ICEB-2025-0001-0817,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
805,ICEB-2025-0001-0818,1,1_master_students_second_second master,Restrictions on second or same-level degrees,master - students - second - second master - degree - level - academic - dhs - not - same,0.503073893265622
806,ICEB-2025-0001-0819,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
807,ICEB-2025-0001-0820,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
808,ICEB-2025-0001-0821,1,1_master_students_second_second master,Restrictions on second or same-level degrees,master - students - second - second master - degree - level - academic - dhs - not - same,0.7819453142183151
809,ICEB-2025-0001-0822,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
810,ICEB-2025-0001-0823,1,1_master_students_second_second master,Restrictions on second or same-level degrees,master - students - second - second master - degree - level - academic - dhs - not - same,0.5789365065009924
811,ICEB-2025-0001-0824,1,1_master_students_second_second master,Restrictions on second or same-level degrees,master - students - second - second master - degree - level - academic - dhs - not - same,0.6043762176119709
812,ICEB-2025-0001-0825,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
813,ICEB-2025-0001-0826,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
814,ICEB-2025-0001-0827,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
815,ICEB-2025-0001-0828,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
816,ICEB-2025-0001-0829,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
817,ICEB-2025-0001-0830,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
818,ICEB-2025-0001-0831,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
819,ICEB-2025-0001-0832,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
